Company Name,Company Code,Market Cap In ($T),Price ($),Percentage Change (%),Company Country,Date,Earnings (B),Revenue (B),Employees,Dividend Yield (%),Total Assets (B),Net Assets (B),Liabilities (B),Debt (B),Cash on Hand (B)
Microsoft,MSFT,3.332,448.37,1.31,USA,2024-06-18,105.26,236.58,221000.0,0.65,484.27,253.15,231.12,79.91,80.01
Apple,AAPL,3.322,216.67,1.97,USA,2024-06-18,120.0,381.62,150000.0,0.45,337.41,74.19,263.21,104.59,67.15
NVIDIA,NVDA,3.221,130.98,-0.68,USA,2024-06-18,49.14,79.77,29600.0,0.01,77.07,49.14,27.93,11.23,31.43
Alphabet (Google),GOOG,2.198,178.78,0.23,USA,2024-06-18,96.14,318.14,180895.0,0.11,407.35,292.84,114.5,28.05,108.09
Amazon,AMZN,1.915,184.06,0.22,USA,2024-06-18,49.42,590.74,1525000.0,0.0,530.96,216.66,314.3,134.68,85.07
Saudi Aramco,2222.SR,1.787,7.39,-2.12,S. Arabia,2024-06-18,230.48,489.43,70000.0,2.31,661.6,459.27,202.32,77.81,91.92
Meta Platforms (Facebook),META,1.285,506.63,0.49,USA,2024-06-18,54.82,142.71,69329.0,0.1,222.84,149.52,73.31,37.63,58.12
TSMC,TSM,0.91934,177.24,2.74,Taiwan,2024-06-18,37.32,73.86,,0.85,180.3,112.56,67.73,31.16,55.88
Berkshire Hathaway,BRK-B,0.87947,407.32,0.44,USA,2024-06-18,96.22,410.93,396500.0,0.0,1070.0,577.78,492.25,122.75,188.99
Broadcom,AVGO,0.8513099999999999,1829.0,5.41,USA,2024-06-18,14.74,38.86,20000.0,1.08,177.87,70.28,107.58,75.9,11.86
Eli Lilly,LLY,0.84111,885.01,0.75,USA,2024-06-18,7.56,35.93,43000.0,0.55,63.94,12.89,51.04,26.21,2.58
Novo Nordisk,NVO,0.62646,140.37,-1.49,Denmark,2024-06-18,16.56,35.45,66015.0,0.98,43.25,14.31,28.94,3.89,1.34
Tesla,TSLA,0.59778,187.44,5.3,USA,2024-06-18,8.92,94.74,140473.0,0.0,109.22,65.18,44.04,9.91,26.86
JPMorgan Chase,JPM,0.55991,194.98,0.62,USA,2024-06-18,62.93,158.85,311921.0,2.18,4090.0,336.63,3754.0,442.14,567.23
Visa,V,0.55484,271.17,0.19,USA,2024-06-18,22.33,34.14,28800.0,0.74,92.39,40.48,51.91,20.6,17.7
Walmart,WMT,0.5422899999999999,67.42,0.6,USA,2024-06-18,24.53,648.12,2100000.0,1.18,252.39,90.57,161.82,61.32,9.86
Exxon Mobil,XOM,0.48608999999999997,108.36,-0.69,USA,2024-06-18,48.34,331.46,62000.0,3.47,377.91,213.05,164.86,40.44,33.32
Tencent,TCEHY,0.4632,48.92,1.68,China,2024-06-18,35.41,85.0,104787.0,0.89,215.14,115.99,99.15,52.05,50.6
UnitedHealth,UNH,0.45027,489.23,-1.17,USA,2024-06-18,21.78,379.48,440000.0,1.15,284.21,96.91,187.29,73.63,32.71
Mastercard,MA,0.41656,448.11,0.78,USA,2024-06-18,14.34,25.69,33400.0,0.55,42.6,7.3,35.29,15.62,7.65
ASML,ASML,0.41529000000000005,1052.0,2.39,Netherlands,2024-06-18,9.12,28.26,40940.0,0.62,42.13,14.88,27.25,4.97,5.83
Procter & Gamble,PG,0.39532,167.5,0.43,USA,2024-06-18,20.06,84.06,107000.0,2.29,119.59,50.33,69.26,31.98,6.82
LVMH,MC.PA,0.3885,777.73,1.06,France,2024-06-18,23.91,95.24,192287.0,1.81,158.86,69.32,89.54,42.98,12.45
Oracle,ORCL,0.38839,141.31,2.3,USA,2024-06-18,14.66,52.51,164000.0,1.13,137.08,6.18,130.9,87.98,9.9
Costco,COST,0.38477,867.91,1.43,USA,2024-06-18,9.76,253.69,316000.0,2.21,67.91,21.77,46.14,9.29,11.49
Samsung,005930.KS,0.383,57.79,2.18,S. Korea,2024-06-18,12.66,201.06,,1.85,350.03,276.45,73.57,9.8,71.43
Johnson & Johnson,JNJ,0.35125,145.95,0.28,USA,2024-06-18,21.36,89.65,131900.0,3.3,171.96,70.02,101.94,33.63,26.21
Home Depot,HD,0.34656,349.5,0.77,USA,2024-06-18,21.41,151.83,465000.0,2.48,79.23,1.82,77.41,51.01,4.26
Merck,MRK,0.32293,127.5,-0.94,USA,2024-06-18,5.11,61.4,70000.0,1.78,105.84,40.42,65.42,34.21,5.61
