Company Name,Company Code,Market Cap,Price,Percentage Today,Company Country,Date,Earnings,Revenue,Employees,Dividend Yield,Total Assets,Net Assets,Liabilities,Debt,Cash on Hand
Microsoft,MSFT,$3.332 T,$448.37,1.31%,USA,2024-06-18,$105.26 B,$236.58 B,"221,000",0.65%,$484.27 B,$253.15 B,$231.12 B,$79.91 B,$80.01 B
Apple,AAPL,$3.322 T,$216.67,1.97%,USA,2024-06-18,$120.00 B,$381.62 B,"150,000",0.45%,$337.41 B,$74.19 B,$263.21 B,$104.59 B,$67.15 B
NVIDIA,NVDA,$3.221 T,$130.98,-0.68%,USA,2024-06-18,$49.14 B,$79.77 B,"29,600",0.01%,$77.07 B,$49.14 B,$27.93 B,$11.23 B,$31.43 B
Alphabet (Google),GOOG,$2.198 T,$178.78,0.23%,USA,2024-06-18,$96.14 B,$318.14 B,"180,895",0.11%,$407.35 B,$292.84 B,$114.50 B,$28.05 B,$108.09 B
Amazon,AMZN,$1.915 T,$184.06,0.22%,USA,2024-06-18,$49.42 B,$590.74 B,"1,525,000",0.00%,$530.96 B,$216.66 B,$314.30 B,$134.68 B,$85.07 B
Saudi Aramco,2222.SR,$1.787 T,$7.39,-2.12%,S. Arabia,2024-06-18,$230.48 B,$489.43 B,"70,000",2.31%,$661.60 B,$459.27 B,$202.32 B,$77.81 B,$91.92 B
Meta Platforms (Facebook),META,$1.285 T,$506.63,0.49%,USA,2024-06-18,$54.82 B,$142.71 B,"69,329",0.10%,$222.84 B,$149.52 B,$73.31 B,$37.63 B,$58.12 B
TSMC,TSM,$919.34 B,$177.24,2.74%,Taiwan,2024-06-18,$37.32 B,$73.86 B,N/A,0.85%,$180.30 B,$112.56 B,$67.73 B,$31.16 B,$55.88 B
Berkshire Hathaway,BRK-B,$879.47 B,$407.32,0.44%,USA,2024-06-18,$96.22 B,$410.93 B,"396,500",0.00%,$1.070 T,$577.78 B,$492.25 B,$122.75 B,$188.99 B
Broadcom,AVGO,$851.31 B,"$1,829",5.41%,USA,2024-06-18,$14.74 B,$38.86 B,"20,000",1.08%,$177.87 B,$70.28 B,$107.58 B,$75.90 B,$11.86 B
Eli Lilly,LLY,$841.11 B,$885.01,0.75%,USA,2024-06-18,$7.56 B,$35.93 B,"43,000",0.55%,$63.94 B,$12.89 B,$51.04 B,$26.21 B,$2.58 B
Novo Nordisk,NVO,$626.46 B,$140.37,-1.49%,Denmark,2024-06-18,$16.56 B,$35.45 B,"66,015",0.98%,$43.25 B,$14.31 B,$28.94 B,$3.89 B,$1.34 B
